"uopid","name","wkt","typeCode","tafTap"
"CH03227","Näfels-Mollis","POINT(9.0699569 47.0987193)","10","CH03227"
"CH09176","Trun","POINT(8.9905766 46.7425325)","80","CH09176"
"CH19294","Vispesand","POINT(7.8799588 46.2883989)","80","CH19294"
"CH03117","Kaltbrunn","POINT(9.022431 47.2179832)","10","CH03117"
"CH15978","Camorino Sud","POINT(8.9877775 46.1506084)","80","CH15978"
"CH92321","Basel, Badischer Bahnhof","POINT(7.6074312 47.5665015)","80","CH92321"
"CH01423","Vionnaz","POINT(6.916203 46.3150328)","10","CH01423"
"CH16179","Steinen Nord (Spw)","POINT(8.6000852 47.0504664)","80","CH16179"
"CH11218","Lottstetten Süd (Verzw)","POINT(8.5577469 47.617493)","80","CH11218"
"CH06035","Schottikon","POINT(8.8117191 47.5001175)","10","CH06035"
"CH01049","Lausanne-Triage","POINT(6.5392969 46.5271547)","80","CH01049"
"CH05347","Balerna per Smistamento (bif)","POINT(9.0000033 45.8491527)","80","CH05347"
"CH04024","Villaz-St-Pierre","POINT(6.9606429 46.7205804)","10","CH04024"
"CH01002","Russin","POINT(6.018036 46.1883951)","10","CH01002"
"CH18307","Pollegio binario di sorpasso","POINT(8.9510909 46.3593937)","80","CH18307"
"CH00206","Solothurn West","POINT(7.5319492 47.2067173)","10","CH00206"
"CH15974","Pollegio Nord (dira)","POINT(8.9321617 46.3679948)","80","CH15974"
"CH01139","Lausanne (bif)","POINT(6.6160371 46.5208764)","80","CH01139"
"CH07480","Reichenbach im Kandertal","POINT(7.6900627 46.6251216)","10","CH07480"
"CH06104","Märstetten","POINT(9.0621935 47.5828206)","10","CH06104"
"CH04119","Siporex (embr)","POINT(6.8567071 46.840085)","80","CH04119"
"CH04022","Siviriez","POINT(6.8853485 46.6592666)","10","CH04022"
"CH01281","Blonay","POINT(6.8958799 46.4656996)","80","CH01281"
"CH08070","Oberzollikofen","POINT(7.4617011 46.9970197)","80","CH08070"
"CH00303","Mumpf","POINT(7.9096244 47.5476261)","10","CH00303"
"CH08043","Herzogenbuchsee Nord (Ge)","POINT(7.6951117 47.1969609)","80","CH08043"
"CH18304","Faido SMF","POINT(8.8106279 46.4978372)","80","CH18304"
"CH06395","Häggenschwil-Winden","POINT(9.3587226 47.5038633)","10","CH06395"
"CH06017","Wiesendangen","POINT(8.776038 47.525543)","10","CH06017"
"CH02300","Zug Postplatz","POINT(8.5169374 47.1682757)","10","CH02300"
"CH07373","Wengernalp","POINT(7.9388164 46.5756319)","80","CH07373"
"CH18337","Leuk (KM-Sprung)","POINT(7.6582699 46.3079339)","80","CH18337"
"CH18972","Mittalgrabentunnel Süd","POINT(7.7572704 46.3230618)","80","CH18972"
"CH08262","Walkringen","POINT(7.6188902 46.947537)","10","CH08262"
"CH01038","Genève Poste 1","POINT(6.1443653 46.2175771)","80","CH01038"
"CH07091","Liebefeld","POINT(7.4189879 46.9300112)","10","CH07091"
"CH00023","Liestal","POINT(7.7313675 47.4844612)","10","CH00023"
"CH18794","Schneit","POINT(8.847436 47.5035804)","80","CH18794"
"CH08075","Bern, Breitenrain","POINT(7.454642 46.9585907)","80","CH08075"
"CH08260","Grosshöchstetten","POINT(7.6349189 46.9046314)","10","CH08260"
"CH16147","St. German (Abzw)","POINT(7.8440949 46.3061655)","80","CH16147"
"CH19695","Vernex (diag)","POINT(6.9051719 46.440252)","80","CH19695"
"CH03100","Zollikon","POINT(8.5697406 47.3373346)","10","CH03100"
"CH03104","Meilen","POINT(8.6443119 47.2698112)","10","CH03104"
"CH00114","Zwingen","POINT(7.530463 47.4337992)","10","CH00114"
"CH04192","Neuenegg","POINT(7.2998571 46.8941478)","10","CH04192"
"CH04448","Löchligut Süd (Abzw)","POINT(7.4700657 46.9701712)","80","CH04448"
"CH15399","Gellert Nord (Abzw)","POINT(7.6152813 47.5568225)","80","CH15399"
"CH01494","Arveyes","POINT(7.0626987 46.2912884)","80","CH01494"
"CH01200","Vevey","POINT(6.8434456 46.4630018)","10","CH01200"
"CH30378","Les Neys","POINT(6.9228564 46.2335806)","80","CH30378"
"CH06128","Kreuzlingen Hafen","POINT(9.1819823 47.649164)","10","CH06128"
"CH08265","Hasle-Rüegsau","POINT(7.6553224 47.0162628)","10","CH08265"
"CH05305","Mendrisio","POINT(8.9786109 45.8691086)","10","CH05305"
"CH04015","Vevey-Funi","POINT(6.8354433 46.4682767)","10","CH04015"
"CH19490","Zürich Oerlikon, Bf Ost (Vzw)","POINT(8.5462504 47.4129447)","80","CH19490"
"CH10681","Pregny (bif)","POINT(6.1456648 46.2309801)","80","CH10681"
"CH88786","Münchenstein, Gartenstadt","POINT(7.6073067 47.5206978)","80","CH88786"
"CH96012","St-Louis, Saint-Exupéry","POINT(7.5561247 47.5765373)","80","CH96012"
"CH89288","Allschwil, Merkurstrasse","POINT(7.5587453 47.5568682)","80","CH89288"
"CH05074","Rigi Kaltbad-First","POINT(8.466717 47.043982)","80","CH05074"
"CH19550","Basel, Aeschenplatz (Vzw Ost)","POINT(7.5964489 47.5516664)","80","CH19550"
"CH03297","Eidg. Magazine","POINT(8.5712515 47.0542952)","80","CH03297"
"CH04225","Le Landeron","POINT(7.0663353 47.0566364)","10","CH04225"
"CH00123","Glovelier","POINT(7.2093128 47.3352095)","10","CH00123"
"CH05000","Luzern","POINT(8.3101832 47.0501778)","10","CH05000"
"CH15323","Denges B (bif)","POINT(6.5443417 46.5307685)","80","CH15323"
"CH03062","Egg","POINT(8.6900434 47.3007577)","80","CH03062"
"CH15317","Chavornay Sud (bif)","POINT(6.5678646 46.7088462)","80","CH15317"
"CH00313","Rheinfelden Augarten","POINT(7.7680319 47.5458782)","10","CH00313"
"CH16168","Sarè (dira)","POINT(8.9472424 46.0475795)","80","CH16168"
"CH19577","Basel, MParc (Wds)","POINT(7.6068026 47.5386886)","80","CH19577"
"CH09001","Zizers SBB","POINT(9.5595697 46.9322124)","80","CH09001"
"CH89290","Allschwil, Ziegelei","POINT(7.548214 47.5516707)","80","CH89290"
"CH02042","Hochdorf Schönau","POINT(8.2987336 47.1645693)","10","CH02042"
"CH15145","Zürich Hauptwerkstätte","POINT(8.502369 47.388119)","80","CH15145"
"CH06148","St. Katharinental","POINT(8.73204 47.6875635)","10","CH06148"
"CH06102","Hüttlingen-Mettendorf","POINT(8.974555 47.5823436)","10","CH06102"
"CH01360","Montreux-Les Planches","POINT(6.9174214 46.4332663)","80","CH01360"
"CH03544","RBL L-Gruppe","POINT(8.3937315 47.4160893)","80","CH03544"
"CH92825","Genève, Maison de la Paix","POINT(6.1455982 46.220061)","80","CH92825"
"CH04410","Zollikofen","POINT(7.4629112 47.0018259)","10","CH04410"
"CH04105","Niederwangen","POINT(7.3764635 46.9255071)","10","CH04105"
"CH09400","Oberriet SG","POINT(9.571377 47.3234832)","10","CH09400"
"CH10554","Zürich Stadelhofen West (Abzw)","POINT(8.5471263 47.3747867)","80","CH10554"
"CH02026","Gelfingen","POINT(8.2648249 47.213559)","10","CH02026"
"CH06303","St. Gallen St. Fiden","POINT(9.3934438 47.4345404)","10","CH06303"
"CH08006","Wynigen","POINT(7.6635069 47.1051748)","10","CH08006"
"CH09260","Cinuos-chel-Brail","POINT(10.0217636 46.6378183)","80","CH09260"
"CH15179","Zürich Viadukt (Abzw)","POINT(8.5207343 47.384583)","80","CH15179"
"CH02237","Lupfig","POINT(8.2149899 47.4451842)","10","CH02237"
"CH01028","Furet (bif)","POINT(6.115516 46.2087542)","80","CH01028"
"CH06123","Kesswil","POINT(9.3174273 47.5954978)","10","CH06123"
"CH90129","Bern Wankdorf, Bahnhof","POINT(7.4645655 46.9666758)","80","CH90129"
"CH15975","Giubiasco Ovest","POINT(8.9912755 46.1667539)","80","CH15975"
"CH00301","Rheinfelden","POINT(7.7921689 47.551214)","10","CH00301"
"CH16766","Bern Wankdorf Süd","POINT(7.4658103 46.9669459)","80","CH16766"
"CH06306","Rorschach Hafen","POINT(9.4929233 47.4785899)","10","CH06306"
"CH15394","Chiasso Smistamento Nord (bif)","POINT(9.0043592 45.8413919)","80","CH15394"
"CH00284","Hinteres Riedholz","POINT(7.5851898 47.2355647)","80","CH00284"
"CH06298","Krummenau","POINT(9.1681547 47.2488351)","10","CH06298"
"CH03006","Zürich Oerlikon","POINT(8.5441399 47.41153)","10","CH03006"
"CH15330","Genève-La-Praille (cul-de-sac)","POINT(6.1311583 46.1859709)","80","CH15330"
"CH06300","St. Gallen Winkeln","POINT(9.3008603 47.4039294)","10","CH06300"
"CH15763","Zürich Altstetten Nord (Abzw)","POINT(8.4996738 47.3897145)","80","CH15763"
"CH04486","Gümmenen","POINT(7.2344094 46.9421822)","10","CH04486"
"CH15357","Sandacher (Spw)","POINT(7.574783 47.0598852)","80","CH15357"
"CH00035","Läufelfingen","POINT(7.8562316 47.3921329)","10","CH00035"
