"uopid","name","wkt","typeCode","tafTap"
"DE00KWR","Wuppertal Rauenthal","POINT(7.237149 51.268574)","10","DE21373"
"DE0TRXS","Renningen Süd","POINT(8.932076 48.762682)","70","DE18798"
"DE00DHS","Hermsdorf (b Dresden)","POINT(13.815842 51.165837)","70","DE14814"
"DE00NJS","Jossa","POINT(9.603725 50.232805)","10","DE15305"
"DE0TSTR","Straßberg-Winterlingen","POINT(9.087751 48.178738)","70","DE20028"
"DE00HLI","Hannover-Linden","POINT(9.711576 52.353857)","10","DE14566"
"DE00WWK","Wittstock (Dosse)","POINT(12.47897 53.1605)","10","DE21244"
"DE00LZI","Zielitz","POINT(11.680077 52.295867)","10","DE21480"
"DE0RHKM","Heidelberg-Kirchheim/Rohrbach","POINT(8.675419 49.379918)","10","DE14679"
"DE0RBTN","Bretten Rechberg","POINT(8.701475 49.033174)","10","DE11687"
"DE00BAS","Berlin-Albrechtshof","POINT(13.129194 52.549373)","70","DE10978"
"DE0WSBU","Schwerin Stern (Buchholz)","POINT(11.435965 53.574009)","120","DE19603"
"DE00MPL","Planegg","POINT(11.41344 48.105358)","70","DE18400"
"DE000RA","Aha","POINT(8.134724 47.833081)","10","DE10048"
"DE000WF","Fürstenberg (Havel)","POINT(13.139337 53.186806)","10","DE13497"
"DE00KDI","Gummersbach-Dieringhausen","POINT(7.542257 50.985324)","10","DE12189"
"DE00MOD","Oberaudorf","POINT(12.175258 47.652672)","70","DE17901"
"DE000EA","Lennestadt-Altenhundem","POINT(8.071753 51.104822)","10","DE16303"
"DE0RUEB","Überlingen Therme","POINT(9.14565 47.769221)","10","DE20417"
"DE00FOB","Oberbrechen","POINT(8.187939 50.354491)","70","DE17912"
"DE00BRU","Ruhland","POINT(13.870079 51.455263)","10","DE19127"
"DE00LPR","Profen","POINT(12.21099 51.130662)","10","DE18540"
"DE0RBRP","Bruchsal-Sportzentrum","POINT(8.589735 49.135576)","70","DE11742"
"DE00MLA","Landshut (Bay) Hbf","POINT(12.135946 48.547532)","10","DE16021"
"DE0SSHI","Saarbrücken-Burbach Mitte","POINT(6.945204 49.243657)","10","DE19151"
"DE00NVI","Vilshofen (Niederbay)","POINT(13.190954 48.629677)","10","DE20615"
"DE00BZS","Zeesen","POINT(13.634991 52.264768)","70","DE21429"
"DE00TWN","Waiblingen","POINT(9.300592 48.825958)","10","DE20689"
"DE00NKZ","Bad Kötzting","POINT(12.852306 49.17305)","10","DE10471"
"DE000WV","Velgast","POINT(12.803125 54.277394)","10","DE20576"
"DE0TSOS","Stuttgart Österfeld","POINT(9.116514 48.737537)","70","DE20088"
"DE000FG","Gießen","POINT(8.663128 50.57909)","10","DE13740"
"DE00RQW","Weil am Rhein BW/CH","POINT(7.604701 47.584059)","120","DE20883"
"DE0TWVH","Warthausen                          (Hp)","POINT(9.801585 48.129912)","70","DE20803"
"DE00UGD","Gräfenroda","POINT(10.833004 50.758912)","10","DE13896"
