"solId","startUopid","endUopid","length"
"00743f6e9f8b4cf5e6f00bd593b4926a26b09877","CH02239","CH15433",1781.0
"007dfea1eb87f245df75108f6173939399cc7d1c","CH03297","CH15397",1408.0
"014ea4e34b1ee75dfe0a7078fcd53e2516d642bf","CH00262","CH00263",2678.0
"01cec6347bfd1165f8e8d09fd17f34fe546d0a14","CH01573","CH01575",3730.0
"01e69019e80f069555640c8f862c2dc9ee0b06c2","CH01013","CH01022",828.0
"02315cdee99a191a5ef5d4b68fe7ac8db755de15","CH03401","CH03402",2852.0
"024a818c061795e91aa44db0afac39a8585b8818","CH00208","CH00207",3469.0
"0290369e4530488a565d184376c006976f01a1e9","CH00309","CH02116",4865.0
"0298524d1237acc9d34fd82ab35b1f687b3a4c90","CH01502","CH01503",4298.0
"0298df56c4b56375116262c4b935d19885d65bd4","CH03047","CH15164",516.0
"02a5e2bf9612ff41b7992586f28693e76bb508a1","CH03414","CH03408",1924.0
"02ca5bd1bde3f90c24c512ecece833f787499a0b","CH00309","CH00342",1161.0
"02ee5e02a17a8a844c9a642c63d0834f64e56ee8","CH00214","CH00213",2321.0
"030b74da63678d65f905da12ab1c97601aad198f","CH02133","CH02119",1725.0
"031911841b41b7c9dafa2a13a9a4ab5dc7b6089c","CH01048","CH01047",1039.0
"035c35cc5930d2f18caec68ef5a9d6830b11ac03","CH03464","CH18243",0.0
"03d13dfff8b458c58cd6d844c0c873275453a176","CH00212","CH00292",2620.0
"05046e7ee36770a6772017b34b3381c090a17b3e","CH03529","CH03505",3689.0
"06224a92b69900d1e7db16f5a2b1eb054ef3e2e9","CH00031","CH00032",1578.0
"063c29c77d4e35f4a3dcd13863f008ef3e6f2526","CH03138","CH03139",4903.0
"0640667928f14d338a9a4b0b15b5aabc94490c33","CH00308","CH00307",3152.0
"078d8ddb45912a6f96ee401c7064a428f5d6f178","CH04009","CH04012",729.0
"07e4286f92d652abeedf3e2deded5443c04bd012","CH03423","CH03424",2227.0
"0880f58d9254a1051a1ad5376d6a56eb5bd86319","CH03007","CH03008",2840.0
"0a4a2f457ef561401bccd3171289e4fe46f33297","CH00306","CH15166",1122.0
"0a8664b257e7b246572c00bcaf33b10effaef5c9","CH00144","CH00128",1902.0
"0b6a99691fb1d2778a8a5bfaf465b1e1d665e956","CH01139","CH01128",544.0
"0b865bfcd0ada6fd16cf6e2cbc2ac92cc921f727","CH02143","CH02112",2029.9999999999997726
"0c8dc74b608591fd5b6a73a2c55148b166419687","CH00247","CH00241",2579.0
"0c9c6eab5cacfd366f2658bc3044c6931b999e81","CH03102","CH03111",1117.0
"0cbeb11fb58fa7f157a57d02ea467912ac321080","CH00307","CH15170",3059.0
"0d106eb4267b57566227d7f1daff99d0f85397aa","CH00324","CH00323",2162.0
"0d1121c3540b69c3fb2ac98ab90af479a3204bc7","CH00110","CH18339",389.0
"0d73cefa503db9e7af6c47bc712dadfc0cc537bb","CH00148","CH00159",4705.0
"0deb346d21f5df050bafa1f7cbf826b3015eef89","CH00321","CH15162",1806.0
"0e948bfae36498e6f77c4504cd18994d9c5e0bff","CH01003","CH07549",774.0
"101e21797a2b938a54f72922bf2b77a89607afbc","CH00222","CH00221",3072.0
"11677117269c8dd066341a86ef3e0cc22c27e9e1","CH02218","CH02219",2548.0
"1235c072cea1300500a3a3512b93f7dd4d71f136","CH01154","CH01155",1153.0
"1423b7d4fe1c617ca2b0efeb7a4a4f6397283111","CH01576","CH01577",3380.0
"14c0f84942bdea79fa4f44e9a00da50444543fc5","CH03526","CH15462",1367.0
"14db65b7adaad9dd6b8bbbb2ceea546578b9c4ba","CH02224","CH02225",4069.0
"150661fe685e1e9b4c94ac09d24130ce031564fd","CH03302","CH03335",1941.0
"156dd24bd0d24746d52dfc620ebd0c3bd1af5a70","CH03020","CH03038",984.0
"15a678bffa47e7b8738864c0048bae8e533376c3","CH01111","CH01110",3026.0
"16d7a4dbff4178d9b42acc1a4f20269a59dcb477","CH03228","CH03230",2967.0
"16e4b3a2e2b6b7285892b65857397e4751505507","CH03528","CH03529",2523.0
"16f0a1a1c951a48299526165f8d2870ef4fabe74","CH00143","CH00144",1786.0
"1887fa140e3ca020bcf9ff9026da9983cbd0cb0b","CH01504","CH01505",3183.0
"19fb5688a97866f8abd5eada10c51ef90f8e9246","CH03109","CH03112",2428.0
"1aa830bf1ee0d8d4083a6f7f39bf9341e2bde339","CH01032","CH01031",4086.0000000000004547
"1bec97cf4c692998c75e8d3804fda1fd8afda44c","CH00292","CH00293",700.0
"1bfdce9eed2fb3c9aaf1b1a0de911b2406bfed5d","CH03329","CH15177",630.0
"1c3fd82a2f04b6c4d4802e8eb077d67318e541a8","CH01440","CH01403",1496.0
"1c3fdf99fd61f42697dd143e8c5c6eb95dc12597","CH01600","CH01601",5441.0
"1c952dd86fdcf0b9c6dd923afc205e66fb1825c3","CH03015","CH16145",1611.0
"1cd286095842761d20dd8b533f66d3f48157ab3e","CH00112","CH00113",3082.0
"1ce1cfc7b4d1e46825ceed54ccbc4959dd60c778","CH03026","CH15488",1096.0
"1cee90e72b4c0323a5fc4d164a3adf952a76b9a2","CH00016","CH15389",3571.0
"1d07c1d4fcf7205d3710babd45487d5b2dea5e4a","CH03426","CH03425",1597.0
"1d176d4a0ad8896146225d4116bfefabb793ae9d","CH00327","CH00326",3010.0
"1d77ad99042695ca81746149b6b925e22804704f","CH02122","CH02101",1598.0
"1e9bbe4f3929ade0704de82ff08729df67effd9f","CH03210","CH03209",1730.0
"2008856966c373400f789aa335a2bd5965761013","CH03117","CH03116",3405.0
"21bb066c1e649ca422a8bc69271108bc517a468d","CH02004","CH02005",2936.0
"21fd9330ca80fce39a182f02edbfd006268ec4d2","CH01031","CH01040",3254.0
"220292c3d2919695ad76432013bc81693cf2724e","CH03317","CH03318",2479.0
"2241889a2768a321c27b6c63898609ee7f1a6724","CH02051","CH02093",2021.9999999999997726
"224562225bef8aa587e4c361c1c373f1b96a9a0c","CH00211","CH00210",5689.0
"225696f7cde1faa9338c27317c98a6fa463a5719","CH01037","CH01046",2220.0
"226a9a80dcef1a5bd99852e17fc40cc73a4db8f3","CH01148","CH01142",630.0
"22b2fa64a4005bbdcb183ad9772e2855c4691b10","CH02223","CH02224",2733.0
"22dce1042dca7573c67935db6d88722f421c0589","CH03234","CH03235",1568.0
"2366663f10dd4be3545fa6a073f59e89773bf432","CH02208","CH02207",3099.0
"2377bf8951beb5e19455988ca59976a0ecfb5ced","CH01155","CH01156",1444.0
"249b5ddc8530482245611499606497fca3d6ccbb","CH01404","CH01405",3654.0
"24df62214d5b9dd5cab42fb9012c239cf33ba6bf","CH01120","CH01139",1126.0
"24f6094840509570e2975be7e64a6492c75747c9","CH03288","CH03294",1016.0
"24fb947ad0b8bc97ab80d3a5c57b887477c7de9c","CH03112","CH03110",2141.0
"257038e27bc63dac27ad26026b808723ea224929","CH00116","CH09428",439.0
"25cf54ba3749624795441939dcb66171320c0d78","CH01605","CH01606",4778.0
"26c9ce2b1ed0084dde7aab42c6702c246eb6c919","CH01302","CH01303",2252.0
"26eeba32827ffb923cb65dba8b389b3b4d60c207","CH02211","CH02212",2720.0
"283cca99f7a2dcc17c2a1f9ac184e0067216e637","CH02119","CH15407",377.0
"28689595d7e071508a810892aab455a731e032dd","CH03292","CH03282",3396.0
"2916c740ba1be99547b96194fb08f827856a49eb","CH02104","CH02103",4215.0
"294a86861a6648145b8cdd523e4eda34b60cb781","CH03505","CH02109",1479.0
"295ffc275425abe34256b353c55f7dfbeb7a555c","CH03237","CH03238",1590.0
"29803ba06aa47ed527efc8af6b1f94a60583c79b","CH03328","CH03248",618.0
"2a2f55887540eba652604403bddf3a7fe5305723","CH01112","CH01194",2450.0
"2a422f01b9e48a0920963dd268842df5a6b310e4","CH02005","CH02006",3790.0
"2a9a3f66c8013142d539bc4af45a077fa12b4549","CH03020","CH15763",1417.0
"2b0c53f533106ec1863e22bbb46cbe2bcacd1279","CH03206","CH03287",2984.0
"2b66348e47ea5a7af7444fe55571dd7f94c58b3a","CH02230","CH16744",229.0
"2b86b8fbd561fd72c14aade66b40e24ab6b7ce55","CH02105","CH15401",2330.0
"2b9f155bf3fe75d4aea940c5d36071d0b642a5e1","CH03420","CH18155",2240.0
"2c6afe7473c19e8a45c8e0df8ce0597fc0ae9a32","CH03403","CH03404",3436.0
"2dc881cf3d2e1af786d33932b376420881d93405","CH03280","CH03297",1199.0
"2eb8ad1874edf55dc3a59f901ea3ba03668c6a76","CH01001","CH01019",781.0
"2eece89906d08dbf62625f56d392633625399578","CH00149","CH00114",1800.0
"303a0eeaf5de2e340537ffdac3b113e6ab62b4c5","CH01148","CH15322",907.0
"30ea12e4d0303986e4fc4249c28a7a16d06af0ea","CH01147","CH01142",421.0
"31813fea7d18abf020d883af2690cb2462dcc3e9","CH00122","CH00123",2898.0
"319d8be62ded9e5866502ffd62ffc3a3565a71e6","CH02008","CH02009",5209.0
"31cba9090c0e1f8b385d63c851d5e6ee8dd48907","CH02107","CH02131",540.0
"322e2dbd708ca3d44b458b0be2767433124f2003","CH02028","CH02021",1031.0
"3236609ea341ff85055940ddbe2ebf8aec984257","CH03042","CH03507",2574.0
"3256a48aaee8b27289fb5d46adcdf998fe4cfe1c","CH01606","CH15310",3809.0
"32ffd49f944dc73f7d6d0443dfa322f201239415","CH02217","CH02218",4199.0
"33e50f8665e9e6229dad105da0b9265126ee3444","CH01158","CH01159",1546.0
"34b4f307fec3b0a9d9f7f1b8eeb4d5e6fd439107","CH03041","CH03506",890.0
"351d0dcaf2c548907966d55c8cb5b5f482121e95","CH03248","CH03329",1022.0
"35392445bb1dc7a585ed90221dd9f040e7fd4317","CH03035","CH15460",251.0
"354b4054a088f0f8a36d5c0b61513a744c8e7886","CH00038","CH05032",290.0
"360ca601f420ad2c71f4376f8dec7e880e218776","CH01300","CH01301",1483.0
"361a8d81a8b1ad66262569b16f8545d20747f5fa","CH01156","CH01157",1149.0
"361c784a07804255954c1e3f6eb9d6301fce69b6","CH03338","CH18271",469.0
"36333236163502c719b5163344aa00fd80d57734","CH03200","CH03201",2005.0
"367971cfe145fdaffadf3f4b9bd0272a561669d4","CH01438","CH02079",1472.0
"36aed60d55bc6256823d0fce41a5d08f7a997700","CH02020","CH02012",2446.0
"3711684c489744ffd326000305d88334e2622454","CH02116","CH02128",2619.0
